Year,College Name,Total Points Per Game,Total Points,Total Touchdowns,1st Downs,Total 1st downs,Rushing 1st downs,Passing 1st downs,1st downs by penalty,3rd down efficiency,3rd down %,4th down efficiency,4th down %,Passing,Comp-Att,Net Passing Yards,Yards Per Pass Attempt,Net Passing Yards Per Game,Passing Touchdowns,Interceptions,Sacks-Yards Lost,Rushing,Rushing Attempts,Rushing Yards,Yards Per Rush Attempt,Rushing Yards Per Game,Rushing Touchdowns,Offense,Total Offensive Plays,Total Yards,Yards Per Game,Returns,Kickoffs: Total,Average Kickoff Return Yards,Punt: Total,Average Punt Return Yards,INT: Total,Average Interception Yards,Kicking,Net Average Punt Yards,Punt: Total Yards,FG: Good-Attempts,Touchback Percentage,Penalties,Total-Yards,Avg. Per Game (YDS),Time of Possession,Possession Time Seconds,Miscellaneous,Fumbles-Lost,Turnover Ratio
2024,Abilene Christian Wildcats,26.0,286,35,,189,75,101,13,58-147,39.46,4-8,50.00,,,,,,,,,,,,,,,,,,,,26-524,20.2,12-76,6.3,12-133,11.1,,43.4,"60-2,606",14-14,72,,67-543,49,,28:54,,0,16
2024,Air Force Falcons,28.0,364,45,,255,189,43,23,78-168,46.43,17-25,68.00,,55-105,"1,105",10.5,85.0,7,6,11--52,,719,"3,660",5.1,281.5,36,,835,"4,765",366.5,,5-92,18.4,8-23,4.0,10-162,16.2,,39.2,"40-1,625",16-20,46,,39-322,24,,33:26,,21-11,-3
2024,Akron Zips,16.3,195,24,,200,85,97,18,57-171,33.33,8-23,34.78,,258-425,"2,371",5.6,197.6,10,15,46--351,,346,972,2.8,81.0,12,,817,"3,343",278.6,,36-632,17.6,17-110,6.5,6-191,31.8,,36.2,"65-2,437",9-16,25,,83-722,60,,29:33,,10-6,-10
2024,Alabama Crimson Tide,33.9,474,58,,277,138,123,16,82-182,45.06,5-7,71.43,,208-325,"3,086",9.5,220.4,23,6,49--360,,561,"2,417",4.3,172.6,32,,935,"5,503",393.1,,24-533,22.2,21-178,8.5,12-125,10.4,,42.5,"63-2,971",22-25,57,,78-655,46,,30:43,,19-5,8
2024,Alabama A&M Bulldogs,29.3,322,43,,225,96,107,22,61-150,40.67,10-25,40.00,,,,,,,,,,,,,,,,,,,,36-626,17.4,15-241,16.1,11-98,8.9,,40.5,"47-1,903",6-6,28,,74-572,52,,30:44,,0,25
2024,Alabama State Hornets,19.7,217,28,,154,70,75,9,44-138,31.88,9-23,39.13,,,,,,,,,,,,,,,,,,,,28-519,18.5,27-374,13.9,10-194,19.4,,37.5,"46-1,723",7-7,35,,70-536,48,,29:01,,0,21
2024,Alcorn State Braves,22.4,246,30,,195,72,109,14,51-142,35.92,8-12,66.67,,,,,,,,,,,,,,,,,,,,23-374,16.3,8-20,2.5,14-147,10.5,,35.7,"58-2,069",13-13,8,,72-692,62,,30:50,,0,22
2024,Appalachian State Mountaineers,33.4,467,59,,332,122,180,30,79-189,41.80,18-28,64.29,,300-472,"3,830",8.1,273.6,34,10,21--115,,534,"2,412",4.5,172.3,23,,1027,"6,242",445.9,,27-604,22.4,2-37,18.5,15-149,9.9,,37.5,"54-2,107",19-21,39,,61-567,40,,31:16,,29-12,3
2024,Arizona Wildcats,34.3,446,55,,299,106,174,19,80-163,49.08,10-15,66.67,,332-464,"4,008",8.6,308.3,36,11,26--169,,398,"1,816",4.6,139.7,17,,888,"5,824",448.0,,12-166,13.8,14-101,7.2,9-88,9.8,,35.3,"39-1,606",19-24,87,,82-689,53,,30:50,,7-3,5
2024,Arizona State Sun Devils,17.8,213,25,,226,90,110,26,53-173,30.64,18-38,47.37,,243-440,"2,524",5.7,210.3,8,14,30--166,,374,"1,343",3.6,111.9,17,,844,"3,867",322.3,,31-710,22.9,10-100,10.0,5-47,9.4,,35.2,"55-2,132",11-16,53,,68-617,51,,30:16,,12-6,-11
