Year,Name,Position,College,Rating
2024,Jalen Davis,Edge,Air Force Falcons,NA
2024,Jack Brumbelow,TE,Air Force Falcons,NA
2024,Brayden Roggow,QB,Akron Zips,0.8230
2024,Rodrick Hunter,S,Akron Zips,0.8204
2024,Jarvis Rush,WR,Akron Zips,0.8137
2024,Justin Anderson,CB,Akron Zips,0.8133
2024,Iesa Jarmon,S,Akron Zips,0.8133
2024,Justin Campbell,WR,Akron Zips,0.7733
2024,Kolton Nero,RB,Alabama A&M Bulldogs,NA
2024,Dequadrion Welch,WR,Alabama A&M Bulldogs,NA
2024,Julian Sayin,QB,Alabama Crimson Tide,0.9966
2024,Jaylen Mbakwe,CB,Alabama Crimson Tide,0.9943
2024,Zavier Mincey,S,Alabama Crimson Tide,0.9876
2024,Zabien Brown,CB,Alabama Crimson Tide,0.9864
2024,Caleb Odom,TE,Alabama Crimson Tide,0.9753
2024,Casey Poe,IOL,Alabama Crimson Tide,0.9618
2024,Jeremiah Beaman,DL,Alabama Crimson Tide,0.9592
2024,Peyton Woodyard,S,Alabama Crimson Tide,0.9476
2024,Daniel Hill,ATH,Alabama Crimson Tide,0.9348
2024,Jameer Grimsley,WR,Alabama Crimson Tide,0.9296
2024,Jayshawn Ross,Edge,Alabama Crimson Tide,0.9283
2024,Sterling Dixon,Edge,Alabama Crimson Tide,0.9213
2024,Bubba Hampton,WR,Alabama Crimson Tide,0.9169
2024,Cayden Jones,LB,Alabama Crimson Tide,0.9099
2024,Red Morgan,S,Alabama Crimson Tide,0.9075
2024,William Sanders,IOL,Alabama Crimson Tide,0.9053
2024,Isaia Faga,DL,Alabama Crimson Tide,0.8879
2024,Justin Okoronkwo,LB,Alabama Crimson Tide,0.8878
2024,Joseph Ionata,IOL,Alabama Crimson Tide,0.8844
2024,Dre Kirkpatrick Jr.,CB,Alabama Crimson Tide,0.8719
2024,Desjon Robertson,DL,Alabama State Hornets,NA
2024,Zach Sims,QB,Alabama State Hornets,NA
2024,Elijah Walker,IOL,Alabama State Hornets,0.8419
2024,Van Weber,QB,Albany Great Danes,NA
2024,Christopher Martin,QB,Alcorn State Braves,NA
2024,Benndy Ambroise,IOL,Alcorn State Braves,NA
2024,Jackson Bussey,Edge,Appalachian State Mountaineers,0.8539
2024,Felix Doege,IOL,Appalachian State Mountaineers,0.8337
2024,Trey Lenhardt,S,Appalachian State Mountaineers,0.8286
2024,Kaleb Neal,S,Appalachian State Mountaineers,0.8278
2024,Matthew Wilson,QB,Appalachian State Mountaineers,0.8244
2024,Dylan Barbrey,OT,Appalachian State Mountaineers,0.8237
2024,JT Sowell,IOL,Appalachian State Mountaineers,0.8204
2024,Kai Fernandes,ATH,Appalachian State Mountaineers,0.8170
2024,Jack Kelly,TE,Appalachian State Mountaineers,0.8139
2024,Jason Brown,RB,Arizona State Sun Devils,0.9076
2024,Chris Johnson Jr.,CB,Arizona State Sun Devils,0.8836
2024,Zechariah Sample,ATH,Arizona State Sun Devils,0.8836
2024,Tony-Louis Nkuba,CB,Arizona State Sun Devils,0.8833
2024,Rodney Bimage,CB,Arizona State Sun Devils,0.8811
2024,Jayden Fortier,TE,Arizona State Sun Devils,0.8806
2024,Kyan McDonald,S,Arizona State Sun Devils,0.8764
2024,Filiva'a Saluni,IOL,Arizona State Sun Devils,0.8658
2024,Albert Smith,LB,Arizona State Sun Devils,0.8647
2024,Plas Johnson,WR,Arizona State Sun Devils,0.8644
2024,Semisi Tonga,IOL,Arizona State Sun Devils,0.8589
2024,Terrell Kim,IOL,Arizona State Sun Devils,0.8578
2024,Champ Westbrooks,IOL,Arizona State Sun Devils,0.8575
2024,Martell Hughes,S,Arizona State Sun Devils,0.8550
2024,Ramar Williams,DL,Arizona State Sun Devils,0.8542
2024,Salesi Manu,Edge,Arizona State Sun Devils,0.8517
2024,James Giggey,DL,Arizona State Sun Devils,0.8428
2024,Kanyon Floyd,P,Arizona State Sun Devils,0.8267
2024,Cyrus Durham,LB,Arizona Wildcats,NA
2024,Johno Price,CB,Arizona Wildcats,NA
2024,Demond Williams Jr.,QB,Arizona Wildcats,0.9208
2024,Jordan Washington,RB,Arizona Wildcats,0.9016
2024,Dylan Tapley,TE,Arizona Wildcats,0.8858
2024,Brandon Phelps,WR,Arizona Wildcats,0.8589
2024,Adam Mohammed,RB,Arizona Wildcats,0.8539
2024,Michael Watkins,IOL,Arizona Wildcats,0.8519
2024,Matthew Lado,OT,Arizona Wildcats,0.8469
2024,Charlie Collins,DL,Arkansas Razorbacks,0.9582
2024,Selman Bridges,CB,Arkansas Razorbacks,0.9396
2024,Kavion Henderson,DL,Arkansas Razorbacks,0.9052
2024,Braylen Russell,RB,Arkansas Razorbacks,0.9004
2024,KJ Jackson,QB,Arkansas Razorbacks,0.8917
2024,JuJu Pope,ATH,Arkansas Razorbacks,0.8908
2024,Justin Logan,LB,Arkansas Razorbacks,0.8836
2024,CJ Brown,ATH,Arkansas Razorbacks,0.8756
2024,Ahkhari Johnson,CB,Arkansas Razorbacks,0.8753
2024,Zuri Madison,IOL,Arkansas Razorbacks,0.8747
2024,Tevis Metcalf,ATH,Arkansas Razorbacks,0.8736
2024,Jaden Allen,CB,Arkansas Razorbacks,0.8736
2024,Kobe Branham,IOL,Arkansas Razorbacks,0.8656
2024,Josh Flowers,QB,Arkansas State Red Wolves,0.8778
2024,Jaylen Boardley,LB,Arkansas State Red Wolves,0.8719
2024,Drew Collins,Edge,Arkansas State Red Wolves,0.8306
2024,Josh Stone,S,Arkansas State Red Wolves,0.8204
2024,Luke Knight,QB,Army Black Knights,NA
2024,Cam Coleman,WR,Auburn Tigers,0.9985
2024,Amaris Williams,Edge,Auburn Tigers,0.9706
2024,Demarcus Riddick,ATH,Auburn Tigers,0.9699
2024,Jamonta Waller,Edge,Auburn Tigers,0.9532
2024,Walker White,QB,Auburn Tigers,0.9497
2024,Joe Phillips,LB,Auburn Tigers,0.9405
2024,Bryce Cain,WR,Auburn Tigers,0.9238
2024,Jay Crawford,CB,Auburn Tigers,0.9147
2024,TJ Lindsey,Edge,Auburn Tigers,0.9043
2024,Malik Blocton,DL,Auburn Tigers,0.8933
2024,Kensley Louidor-Faustin,S,Auburn Tigers,0.8917
2024,Laquan Robinson,S,Auburn Tigers,0.8853
2024,DJ Barber,LB,Auburn Tigers,0.8850
2024,Kaleb Harris,S,Auburn Tigers,0.8794
2024,Favour Edwin,OT,Auburn Tigers,0.8778
2024,Seth Wilfred,OT,Auburn Tigers,0.8672
2024,Zach Bandy,OT,Ball State Cardinals,0.8278
2024,L'Cier Luter,DL,Ball State Cardinals,0.8083
2024,Ty Curran,ATH,Ball State Cardinals,0.8070
2024,Jamarion McDougle,WR,Ball State Cardinals,0.8044
2024,Tonga Lolohea,DL,Baylor Bears,0.8800
2024,Jadon Porter,ATH,Baylor Bears,0.8794
2024,Kris Wokomah,S,Baylor Bears,0.8769
2024,Brock Jackson,Edge,Baylor Bears,0.8711
2024,Kyland Reed,LB,Baylor Bears,0.8703
2024,Tristan Santoro,OT,Baylor Bears,0.8642
2024,Keaton Thomas,LB,Baylor Bears,0.8558
2024,Koltin Sieracki,IOL,Baylor Bears,0.8550
2024,Nate Bennett,QB,Baylor Bears,0.8450
2024,Surafel Seyfu,IOL,Bethune-Cookman Wildcats,NA
2024,Teko Shoats,IOL,Bethune-Cookman Wildcats,NA
2024,Nahseem Deas,QB,Bethune-Cookman Wildcats,NA
2024,Melvin Puckett,IOL,Bethune-Cookman Wildcats,NA
2024,Kevin Washington,LB,Bethune-Cookman Wildcats,NA
2024,Dairo Melendez,DL,Bethune-Cookman Wildcats,NA
2024,Isaiah Maumalanga,IOL,Bethune-Cookman Wildcats,NA
2024,Jayden Cummings,S,Bethune-Cookman Wildcats,NA
