Year,Name,Position,College,Rating
2004,Jefrey Alexander,RB,Air Force Falcons,NA
2004,Josh Jones,OLB,Air Force Falcons,0.7667
2004,Andrew McKain,ILB,Air Force Falcons,0.7667
2004,Jake Paulson,ILB,Air Force Falcons,0.7667
2004,Jon McDaniel,OG,Air Force Falcons,0.7222
2005,Bradley Bernard,SDE,Air Force Falcons,NA
2005,Tanner Doss,CB,Air Force Falcons,NA
2005,Tyler Perry,ILB,Air Force Falcons,NA
2005,Brandon Reeves,OLB,Air Force Falcons,NA
2005,Luke Yeager,S,Air Force Falcons,NA
2005,Ryan Harrison,K,Air Force Falcons,0.7667
2005,Colin Kennedy,TE,Air Force Falcons,0.7667
2005,Wade Weyer,RB,Air Force Falcons,0.7667
2005,Andy Braly,ATH,Air Force Falcons,0.7444
2005,Danny Davidson,TE,Air Force Falcons,0.7444
2005,Brett Fields,RB,Air Force Falcons,0.7444
2005,Daylan Phillips,RB,Air Force Falcons,0.7444
2005,Mitchell Himes,OG,Air Force Falcons,0.7222
2005,Alex Karabin,OG,Air Force Falcons,0.7222
2005,Kyle Knight,OG,Air Force Falcons,0.7222
2005,Shea McIntyre,OLB,Air Force Falcons,0.7222
2006,Seth Armbrust,CB,Air Force Falcons,NA
2006,Brandon Lemon,CB,Air Force Falcons,NA
2006,Ben Garland,OG,Air Force Falcons,NA
2006,Tony Barr,OG,Air Force Falcons,0.8111
2006,Ryan Southworth,FB,Air Force Falcons,0.7889
2006,Cody Blevins,S,Air Force Falcons,0.7667
2006,Geoff Hayth,ATH,Air Force Falcons,0.7444
2006,Benjamin Kelly,CB,Air Force Falcons,0.7444
2006,A.J. Morosco,ILB,Air Force Falcons,0.7444
2006,Kyle Black,DUAL,Air Force Falcons,0.7222
2006,Antonio Jennings,WR,Air Force Falcons,0.7222
2006,Nick Lind,RB,Air Force Falcons,0.7222
2006,Eric Moats,WR,Air Force Falcons,0.7222
2006,Jacob Branstetter,K,Air Force Falcons,0.7222
2006,Clay Baldwin,K,Air Force Falcons,0.7000
2006,Joshua Cousins,DUAL,Air Force Falcons,0.7000
2007,Mike Chambers,OT,Air Force Falcons,NA
2007,Paul Weatheroy,APB,Air Force Falcons,NA
2007,Tyler Dallas,SDE,Air Force Falcons,0.7889
2007,Phillip Ofili,S,Air Force Falcons,0.7889
2007,Stephen Shaffer,TE,Air Force Falcons,0.7667
2007,Nick Bonturi,TE,Air Force Falcons,0.7222
2007,Patrick Daugherty,OG,Air Force Falcons,0.7222
2007,Peter DeBois,S,Air Force Falcons,0.7222
2007,Steven Lambe,DT,Air Force Falcons,0.7222
2008,Ryan Dukes,SDE,Air Force Falcons,0.7667
2008,LeRoi Edwards,OG,Air Force Falcons,0.7667
2008,Robert Drye,OT,Air Force Falcons,0.7556
2008,Irvin George,APB,Air Force Falcons,0.7556
2009,Rob Ferrell,WDE,Air Force Falcons,NA
2009,Austin Jones,ILB,Air Force Falcons,NA
2009,Jake Morin,OT,Air Force Falcons,0.8211
2009,Jordan Padgett,S,Air Force Falcons,0.8167
2009,James Chambers,ILB,Air Force Falcons,0.8111
2009,Dan Zotto,WDE,Air Force Falcons,0.8000
2009,Nathan Badger,DT,Air Force Falcons,0.7933
2009,Garrett Hedrick,OG,Air Force Falcons,0.7922
